الرقم,الاسم في الورقة,الاسم الصحيح (عربي),الاسم التجاري (English)
1,ميسي,ميس ديور,Miss Dior
2,ليالي دبي,ليالي دبي,Layali Dubai
3,ديور دستن بلاك,ديور كريستيان بلاك,Christian Dior Black
4,الطريق لدبي,طريق دبي,Road to Dubai
5,قابرائيل,غابرييل (شانيل),Gabrielle (Chanel)
6,بمشيل,بومب شيل,Bombshell
7,الرخام,عطر الرخام (ماربل),Marble
8,كالديون ام,كالديون مان,Caldion Men
9,نخبه العود,نخبة العود,Elite Oud
10,ايفينيك مان,آيكونيك مان,Iconic Man
11,مخلط عاليه,مخلط عالية,Mukhallat Alia
12,تدلبيدوز,تيد لابيدوس,Ted Lapidus
13,ايزي نوت,إيسي مياكي,Issey Miyake
14,كودا اصففائي,عود أصفهان (ديور),Oud Ispahan (Dior)
15,سوسبيدو,سوسبيرو,Sospiro
16,غالي,عطر غالي,Gali
17,سينما,سينما (إيف سان لوران),Cinema (YSL)
18,دينماركوس,دراكار نوار,Drakkar Noir
19,توم فورد نوار,توم فورد نوار,Tom Ford Noir
20,عود زايد,عود زايد,Oud Zayed
21,تصميم,تصميم (الرصاصي),Tasmeem (Rasasi)
22,ديفيد بيكهام,ديفيد بيكهام,David Beckham
23,اللياقه العليا بيل,هاير إنيرجي (ديور),Higher Energy (Dior)
24,الليله الخاصه,ليلة خاصة,Special Night
25,كز نوف,كازانوفا,Casanova
26,ازرق ازرق,بلو دو شانيل,Bleu de Chanel
27,هيفن بلس,هيفن بلس,Heaven Plus
28,اويس 17 امولج,أمواج أوبوس 7,Amouage Opus VII
29,مخلط كويتي,مخلط كويتي,Mukhallat Kuwaiti
30,اكوادات بلو,أكوا دي جيو بلو,Acqua di Gio Blue
31,اصيل,عطر أصيل,Aseel
32,وال بلس,أللور سبورت / وال بلس,Allure Sport / Well Plus
33,زعفران,زعفران,Saffron
34,كريد جرين,كريد جرين أيريش تويد,Creed Green Irish Tweed
35,بوس بتل العود,بوس بوتلد عود,Boss Bottled Oud
36,فرانك اوليفير,فرانك أوليفييه,Franck Olivier
37,مخلط ملكي,مخلط ملكي,Mukhallat Malaki
38,مخلط رومانسي,مخلط رومانسي,Mukhallat Romansi
39,اوزو بلس,أزور بلس / أزارو,Azure Plus / Azzaro
40,يورق درزاين,يورك ديزاين,York Design
41,الفردوس,عطر الفردوس,Al Firdous
42,بالغاري,بولغاري,Bvlgari
43,سبورت هافوك,هافوك سبورت,Havoc Sport
44,مسك ابيض,مسك أبيض,White Musk
45,48 ساعه,48 ساعة,48 Hours
46,الارهام سبورت,أللور هوم سبورت,Allure Homme Sport
47,كوبا,عطر كوبا,Cuba
48,هافوك ام,هافوك رجالي,Havoc Man
49,برشلونه,عطر برشلونة,Barcelona
50,بديف هارت,بودي هيت,Body Heat
51,بلغاري سبورت ليق جاز,بولغاري لايف جاز,Bvlgari Live Jazz
52,رمسيس عود,رمسيس عود,Ramses Oud
53,او سي انتنتس,أوشن إنتنس,Ocean Intense
54,اي اتلانتس,أكوا أتلانتيك,Aqva Atlantiqve
55,الحلم الازرق,بلو دريم,Blue Dream
56,رويال دريم,رويال دريم,Royal Dream
57,اكتب ومن؟,أكتيف وومن,Active Woman
58,رجاذ الذهب,رغبة الذهب,Raghba Gold
59,بيوتيفول,بيوتيفول (إستي لودر),Beautiful
60,عود سيوفي,عود سيوفي,Oud Sioufi
61,كارون,عطر كارون,Caron
