number order,arabic market name ,name in E,gender,price for 1kg,perfume code,compny tag,seasons,description
#1,XXL,XXL,للجنسين,48,,EMSA,صيفي وشتوي,XXL: تبدأ التجربة العطرية بعبير الباتشولي والفانيليا الناعمة، مع قلب يفوح برائحة التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#2,اتيرنتي رجالي,,رجالي,48,,EMSA,صيفي وشتوي,اتيرنتي رجالي: يطل علينا العطر بافتتاحية من الباتشولي والمسك الأبيض، ليأخذك في رحلة إلى نوتات التوابل الحارة والزعفران، ليستقر في النهاية على قاعدة فاخرة.
#3,اتيرنتي نسائي,,نسائي,48,,EMSA,صيفي وشتوي,اتيرنتي نسائي: تبدأ التجربة العطرية بعبير الياسمين الأبيض وبراعم اللوز، ليستقر في وسطه عبير خشب الصندل والباتشولي، يعطي شعوراً بالفخامة والتميز.
#4,اثارة,,نسائي,44,,EMSA,صيفي وشتوي,اثارة: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، مع قلب يفوح برائحة خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#5,اثارة (م),,نسائي,34,,EMSA,صيفي وشتوي,اثارة (م): يطل علينا العطر بافتتاحية من خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات العود والعنبر، يمنحك هالة من الثقة طوال اليوم.
#6,اديداس,,رجالي,64,,EMSA,صيفي وشتوي,اديداس: تبدأ التجربة العطرية بعبير الباتشولي والفانيليا الناعمة، بينما ينبض القلب بنبضات الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#7,ارامس 900,,رجالي,54,,EMSA,صيفي وشتوي,ارامس 900: يمتاز العطر ببداية فوارة من الباتشولي والمسك الأبيض، ويتجلى في جوهره مزيج من التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#8,اير لوي,,للجنسين,36,,EMSA,صيفي وشتوي,اير لوي: ينطلق العطر بنغمات منعشة من خشب الصندل والمسك الأبيض، ثم ينتقل بك إلى قلب عطري غني بـ خشب الصندل والباتشولي، يمنحك هالة من الثقة طوال اليوم.
#9,ارماني SI,,نسائي,58,,EMSA,صيفي وشتوي,ارماني SI: تبدأ التجربة العطرية بعبير الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#10,ارماني كود سبورت,,رجالي,52,,EMSA,صيفي وشتوي,ارماني كود سبورت: تأتي الرشة الأولى مزيجاً من الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات التوابل الحارة والزعفران، يعطي شعوراً بالفخامة والتميز.
#11,ارماني مانيا,,رجالي,54,,EMSA,صيفي وشتوي,ارماني مانيا: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، ويتجلى في جوهره مزيج من الفانيليا والكاكاو، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#12,اريع وردات,,للجنسين,54,,EMSA,صيفي وشتوي,اريع وردات: يطل علينا العطر بافتتاحية من الياسمين الأبيض وبراعم اللوز، ثم ينتقل بك إلى قلب عطري غني بـ الفانيليا والكاكاو، مثالي جداً للأوقات التي تتطلب حضوراً لافتاً.
#13,ازرق ازرق,,للجنسين,50,,EMSA,صيفي وشتوي,ازرق ازرق: تأتي الرشة الأولى مزيجاً من خشب الصندل والفانيليا الناعمة، ثم ينتقل بك إلى قلب عطري غني بـ التوابل الحارة والزعفران، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#14,ازارو فزت,,رجالي,46,,EMSA,شتوي,ازارو فزت: تبدأ التجربة العطرية بعبير خشب الصندل والمسك الأبيض، ليستقر في وسطه عبير الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#15,ازارو كروم,,رجالي,46,,EMSA,شتوي,ازارو كروم: يفتتح هذا العطر رحلته بنفحات خشب الصندل والمسك الأبيض، ويتجلى في جوهره مزيج من العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
#16,ازارو هوم,,رجالي,62,,EMSA,شتوي,ازارو هوم: يطل علينا العطر بافتتاحية من الباتشولي والفانيليا الناعمة، بينما ينبض القلب بنبضات خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#17,ازارو NOW,,رجالي,50,,EMSA,شتوي,ازارو NOW: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، بينما ينبض القلب بنبضات الفانيليا والكاكاو، ليستقر في النهاية على قاعدة فاخرة.
#18,اسكادا تاج,,نسائي,54,,EMSA,صيفي,اسكادا تاج: تبدأ التجربة العطرية بعبير خشب الصندل والفانيليا الناعمة، ليستقر في وسطه عبير خشب الصندل والباتشولي، ليستقر في النهاية على قاعدة فاخرة.
#19,اسكادا كرز,,نسائي,50,,EMSA,صيفي,اسكادا كرز: يفتتح هذا العطر رحلته بنفحات الباتشولي والمسك الأبيض، بينما ينبض القلب بنبضات العود والعنبر، مما يمنحه ثباتاً رائعاً يدوم طويلاً.
